id,nombre,genero_bio
1,Tabina Huburn,M
2,Arthur Ortells,F
3,Jeannie Brookton,F
4,Abey Hyndes,M
5,Jillene Ivanenkov,F
6,Herminia Dall,F
7,Raye Simonson,F
8,Sampson Stirley,M
9,Ronny Andrys,F
10,Fidela Carryer,M
11,Sterling Sydry,M
12,Lanny Gwillyam,M
13,Nikki Krzyzaniak,M
14,Evie Bannester,F
15,Maurice McTrustam,F
16,Lannie Chasemoore,F
17,Margo Ivanisov,M
18,Faunie Housen,F
19,Paloma Carse,M
20,Geneva Edscer,M
21,Grannie Smoth,M
22,Claresta Huton,M
23,Sabine Behagg,M
24,Ardisj Matushenko,M
25,Colas Kamien,M
26,Carmita O'Shea,F
27,Rosalynd Skuce,M
28,Nickey Clandillon,M
29,Alair Stranks,M
30,Jerald McCalister,F
